latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
6.3620386,2.4120603,8.0,3600,Africa/Porto-Novo,GMT+1

time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),wind_direction_10m_dominant (°),relative_humidity_2m_mean (%),surface_pressure_mean (hPa),cloud_cover_mean (%),sunshine_duration (s)
2015-01-01,2,29.3,24.5,26.9,0.00,0.00,0.0,17.0,34.9,215,79,1010.2,10,41319.21
2015-01-02,0,29.2,24.6,27.0,0.00,0.00,0.0,15.1,32.0,204,78,1011.0,4,41278.21
2015-01-03,3,28.9,24.7,26.9,0.00,0.00,0.0,16.7,31.3,174,83,1012.2,39,40985.12
2015-01-04,3,29.4,23.9,26.5,0.00,0.00,0.0,12.7,24.5,117,73,1012.6,15,41837.27
2015-01-05,0,29.1,23.0,25.8,0.00,0.00,0.0,12.3,24.1,91,57,1012.2,0,41934.91
2015-01-06,3,28.4,22.0,25.3,0.00,0.00,0.0,13.5,27.7,163,59,1011.4,68,41942.25
2015-01-07,3,28.8,21.8,25.4,0.00,0.00,0.0,14.8,29.2,175,66,1011.3,51,41950.01
2015-01-08,3,28.3,22.0,25.3,0.00,0.00,0.0,13.7,27.7,170,72,1012.0,39,41958.19
2015-01-09,3,28.9,22.6,25.7,0.00,0.00,0.0,14.8,29.2,105,67,1012.5,53,41966.77
2015-01-10,3,28.2,21.7,25.0,0.00,0.00,0.0,14.1,27.0,87,57,1012.8,66,41975.74
2015-01-11,3,27.9,21.4,24.9,0.00,0.00,0.0,13.7,25.2,80,57,1013.1,9,41985.09
2015-01-12,2,29.0,20.8,24.8,0.00,0.00,0.0,14.4,28.8,54,53,1011.5,17,41994.80
2015-01-13,0,28.1,21.2,24.4,0.00,0.00,0.0,14.4,31.7,67,55,1011.2,1,42004.85
2015-01-14,0,27.7,20.8,24.3,0.00,0.00,0.0,13.3,28.1,142,62,1011.1,3,42015.23
2015-01-15,3,27.7,21.2,24.7,0.00,0.00,0.0,14.0,31.7,183,74,1011.3,48,42025.92
2015-01-16,0,28.1,22.3,25.3,0.00,0.00,0.0,15.2,32.8,197,81,1011.5,2,42036.92
2015-01-17,3,29.1,23.5,25.9,0.00,0.00,0.0,17.4,33.8,221,83,1011.5,22,41026.31
2015-01-18,3,29.1,24.9,26.4,0.00,0.00,0.0,16.9,32.8,211,83,1011.8,26,40556.85
2015-01-19,53,29.5,25.3,26.8,0.70,0.70,2.0,13.7,33.5,219,84,1010.7,40,39798.21
2015-01-20,53,28.1,25.6,26.7,1.30,1.30,3.0,14.5,30.6,212,86,1009.3,54,39373.87
2015-01-21,51,29.1,25.8,27.0,0.20,0.20,1.0,15.3,31.3,212,84,1010.3,32,41125.85
2015-01-22,3,29.7,25.6,27.1,0.00,0.00,0.0,17.9,32.4,221,84,1010.8,66,37694.76
2015-01-23,3,30.1,25.9,27.4,0.00,0.00,0.0,18.3,37.1,220,84,1010.0,86,41415.29
2015-01-24,61,28.8,25.8,27.0,3.50,3.50,7.0,16.3,32.8,221,86,1008.8,89,40696.63
2015-01-25,61,28.7,25.7,26.8,2.80,2.80,6.0,16.3,35.6,221,86,1008.8,55,35739.42
2015-01-26,55,28.7,26.0,27.0,2.40,2.40,8.0,16.6,29.9,221,85,1009.9,55,38070.09
2015-01-27,61,29.6,26.2,27.4,2.20,2.20,1.0,18.5,32.8,223,85,1009.7,62,40994.81
2015-01-28,51,29.5,26.0,27.3,0.90,0.90,5.0,19.6,38.5,218,85,1009.2,69,37048.36
2015-01-29,51,28.8,26.0,27.1,0.40,0.40,3.0,18.3,36.0,210,85,1009.4,40,39808.76
2015-01-30,53,29.0,26.2,27.2,1.10,1.10,4.0,16.1,33.8,215,85,1010.1,42,40556.29
